Plot Name,Description,x_axis
Amount_invested_monthly,"1. **What does it represent?** The sum of money an individual invests each month.
2. **What does the density distribution show us?** There is a broad distribution, but those who invest more tend to have higher credit scores.
3. **Average Score by Amount Invested Monthly:** There is a positive correlation, showing that individuals who invest more tend to have higher credit scores.
4. **Overall:** Regular monthly investments might be indicative of financial health, which correlates with better credit scores.",Amount invested monthly (in USD)
Monthly_Balance,"1. **What does it represent?** The amount of money remaining after all monthly expenditures.
2. **What does the density distribution show us?** Individuals with higher monthly balances are predominantly in the 'Good' credit score category, suggesting prudent financial management.
3. **Average Score by Monthly Balance:** The trend indicates that as monthly balances increase, so do credit scores, implying a positive impact on creditworthiness.
4. **Overall:** A significant positive correlation with credit score is seen, emphasizing the importance of maintaining a healthy monthly balance for a good credit rating.",Monthly Balance (in USD)
Credit_Utilization_Ratio,"1. **What does it represent?** Reflects the amount of credit used relative to the total available.
2. **What does the density distribution show us?** Most individuals fall between a 20-40 ratio, with 'Good' scores showing a tighter concentration.
3. **Average Score by Utilization:** Average credit scores remain steady across utilization levels, indicating a neutral impact.
4. **Overall**: Has a low correlation with credit score. From the distribution plot we can infer that individuals with poor credit scores usually have slightly lower utilization ratio ",Credit Utilization Ratio (in %)
Annual_Income,The graph suggests that a higher annual income is generally associated with a higher average credit score. This indicates that boosting your income could positively influence your creditworthiness and potentially help you increase your credit score.,
Changed_Credit_Limit,"1. **What does it represent?** The % change by which an individual's credit limit has been adjusted, either increased or decreased.
2. **What does the density distribution show us?** Most credit score categories have a varied distribution of credit limit changes, with no single group dominating.
3. **Average Score by Changed Credit Limit:** The average credit score appears to decrease slightly as the credit limit changes increase, suggesting that higher increases or decreases may be linked to lower credit scores.
4. **Overall:** There is a mild negative correlation with credit score, potentially indicating that significant changes in credit limits might be associated with financial instability or riskier credit behavior.",Changed Credit Limit (in %)
Num_of_Delayed_Payment,"1. **What does it represent?** The average number of payments delayed by a person
2. **What does the density distribution show us?** Most individuals have few or no delayed payments, particularly those with 'Good' credit scores.
3. **Average Score by Number of Delayed Payments:** The average credit score decreases significantly with an increasing number of delayed payments.
4. **Overall:** There is a strong negative correlation; more delayed payments are associated with lower credit scores, underscoring the importance of timely payments.",Number of Delayed Payments
Num_Credit_Inquiries,"1. **What does it represent?** The number of times an individual's credit report has been accessed by lenders.
2. **What does the density distribution show us?** A high number of inquiries is not common, and those with fewer inquiries tend to have better credit scores.
3. **Average Score by Number of Credit Inquiries:** There's a slight trend showing that fewer inquiries may correlate with higher credit scores.
4. **Overall:** Frequent credit inquiries might slightly lower credit scores, suggesting that excessive credit seeking could be perceived negatively.",Number of Credit Inquiries
Num_of_Loan,"1. **What does it represent?** The total number of loans an individual currently has.
2. **What does the density distribution show us?** There is a diverse distribution, but having fewer loans is more common among individuals with 'Good' credit scores.
3. **Average Score by Number of Loans:** Generally, individuals with fewer loans tend to have higher credit scores.
4. **Overall:** There seems to be a negative correlation, with a higher number of loans potentially lowering credit scores.",Number of Loans
Payment_of_Min_Amount,"1. **What does it represent?** Whether only the minimum amount was paid by the individual
2. **What does the density distribution show us?** Those who consistently pay the minimum amount or more have a higher density in the 'Good' score category.
3. **Average Score by Payment of Minimum Amount:** Not paying the minimum amount correlates with significantly lower credit scores.
4. **Overall:** Failing to pay even the minimum amount due can have a markedly negative effect on credit scores.",Payment of Minimum Amount
Delay_from_due_date,"1. **What does it represent?** The average number of days payments are made past the due date.
2. **What does the density distribution show us?** A high concentration of 'Poor' and 'Standard' credit scores are observed among individuals with longer delays, while 'Good' scores are less common.
3. **Average Score by Delay from Due Date:** There is a clear downward trend, indicating that longer delays correlate with lower credit scores.
4. **Overall:** A strong negative correlation is observed, stressing the negative impact of late payments on credit scores.",Delay from Due Date (in Days)
Type_of_Loan,"1. **What does it represent?** This represents the category of loan taken by individuals, such as auto loans, credit builder loans, etc.
2. **What does the density distribution show us?** The density distribution across all credit scores shows a relatively even spread among the various loan types, indicating that no single type of loan is overwhelmingly associated with a particular credit score category.
3. **Average Score by Type of Loan:** The average credit score by type of loan is relatively consistent across different loan types, suggesting that the type of loan does not have a significant differential impact on the average credit score.
4. **Overall:** Considering the similar average scores across loan types, it seems that the type of loan might not be a strong standalone indicator of credit score. It suggests that other factors might play a more pivotal role in determining credit scores than the type of loan itself.
",Types of Loans
